Entry	Entry name	Status	Protein_names	Gene_names	Organism	AA_Length	Taxonomic lineage (ALL)	Organism ID
A0A0J7IH53	A0A0J7IH53_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	ACM46_05895	Chryseobacterium angstadtii	302	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium angstadtii"	558151
A0A083WQI9	A0A083WQI9_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	HY04_08665	Chryseobacterium antarcticum	302	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium antarcticum"	266748
A0A0Q3P3I3	A0A0Q3P3I3_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	AR438_15355	Chryseobacterium aquaticum	302	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium aquaticum"	452084
A0A1B8ZTB3	A0A1B8ZTB3_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	BBI00_11070	Chryseobacterium arthrosphaerae	302	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium arthrosphaerae"	651561
A0A1B8ZBS5	A0A1B8ZBS5_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	BBI01_17380	Chryseobacterium artocarpi	302	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium artocarpi"	1414727
A0A1N7NYY2	A0A1N7NYY2_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	SAMN05421789_1193	Chryseobacterium chaponense	303	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium chaponense"	713588
A0A150ZQV1	A0A150ZQV1_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	A1704_11070	Chryseobacterium cucumeris	302	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium cucumeris"	1813611
A0A085Z6T7	A0A085Z6T7_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	IX39_05690	Chryseobacterium formosense	301	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium formosense"	236814
A0A0G3LX98	A0A0G3LX98_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	OK18_01800	Chryseobacterium gallinarum	302	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium gallinarum"	1324352
A0A1N7QX91	A0A1N7QX91_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	SAMN05421785_12154	Chryseobacterium gambrini	302	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium gambrini"	373672
A0A101CEX6	A0A101CEX6_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	AR686_15685	Chryseobacterium greenlandense	302	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium greenlandense"	345663
A0A085BID3	A0A085BID3_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	IO89_09805	Chryseobacterium halperniae	304	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium halperniae"	421072
A0A0N0ZTG9	A0A0N0ZTG9_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	AOB46_20760	Chryseobacterium indologenes	302	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium indologenes"	253
A0A0C1F8U0	A0A0C1F8U0_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	OA86_02640	Chryseobacterium jeonii	301	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium jeonii"	266749
A0A0J7IX84	A0A0J7IX84_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	ACM44_12075	Chryseobacterium koreense CCUG 49689	301	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium koreense, Chryseobacterium koreense CCUG 49689"	1304281
A0A135WK78	A0A135WK78_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	AU378_06080	Chryseobacterium kwangjuense	300	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium kwangjuense"	267125
A0A1K2IJY1	A0A1K2IJY1_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	SAMN05216324_103329	Chryseobacterium limigenitum	302	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium limigenitum"	1612149
A0A085ZH77	A0A085ZH77_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	IX38_10265	Chryseobacterium luteum	302	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium luteum"	421531
A0A1M5LIU7	A0A1M5LIU7_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	SAMN05421866_1108	Chryseobacterium oranimense	303	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium oranimense"	421058
A0A086B2P9	A0A086B2P9_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	IQ37_14225	Chryseobacterium piperi	302	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium piperi"	558152
A0A1N7MZ56	A0A1N7MZ56_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	SAMN05421796_10654	Chryseobacterium piscicola	300	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium piscicola"	551459
A0A1N7K2H9	A0A1N7K2H9_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	SAMN05421639_10828	Chryseobacterium shigense	303	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium shigense"	297244
A0A086A9Z7	A0A086A9Z7_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	IW15_06900	Chryseobacterium soli	302	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium soli"	445961
A0A0C1F7X7	A0A0C1F7X7_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	OA84_00960	Chryseobacterium solincola	302	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium solincola"	510955
A0A086F937	A0A086F937_CHRP1	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	HX13_04610	Chryseobacterium sp. (strain P1-3)	302	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium sp. (strain P1-3)"	1517683
A0A1Q3ZCG9	A0A1Q3ZCG9_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	BGO86_10000	Chryseobacterium sp. 36-9	302	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium sp. 36-9"	1895905
A0A1M3E0R3	A0A1M3E0R3_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	BGO40_02665	Chryseobacterium sp. 39-10	302	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium sp. 39-10"	1895745
A0A0J7I737	A0A0J7I737_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	ACM40_07700	Chryseobacterium sp. BLS98	303	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium sp. BLS98"	885586
A0A1B9YF92	A0A1B9YF92_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	BA768_02375	Chryseobacterium sp. CBo1	301	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium sp. CBo1"	1869230
J2KKJ1	J2KKJ1_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	PMI13_01519	Chryseobacterium sp. CF314	302	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium sp. CF314"	1144316
A0A0N1DXR1	A0A0N1DXR1_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	AMQ68_23945	Chryseobacterium sp. ERMR1:04	302	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium sp. ERMR1:04"	1705393
A0A085BGT0	A0A085BGT0_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	IO90_06875	Chryseobacterium sp. FH1	304	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium sp. FH1"	1233951
A0A0J7INR6	A0A0J7INR6_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	ACM39_11915	Chryseobacterium sp. FH2	302	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium sp. FH2"	1674291
A0A0K9XZX2	A0A0K9XZX2_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	AC804_09085	Chryseobacterium sp. Hurlbut01	302	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium sp. Hurlbut01"	1681828
A0A172XXS3	A0A172XXS3_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	A0O34_14715	Chryseobacterium sp. IHB B 10212	302	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium sp. IHB B 10212"	1685010
A0A0S3FU01	A0A0S3FU01_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	ATE47_10660	Chryseobacterium sp. IHB B 17019	302	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium sp. IHB B 17019"	1721091
A0A177LPJ4	A0A177LPJ4_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	AXA65_03010	Chryseobacterium sp. J200	304	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium sp. J200"	1792309
A0A101C7B4	A0A101C7B4_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	AR685_12115	Chryseobacterium sp. JAH	300	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium sp. JAH"	1742858
A0A086APC5	A0A086APC5_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	IW22_17680	Chryseobacterium sp. JM1	302	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium sp. JM1"	1233950
A0A0Q5Q049	A0A0Q5Q049_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	ASG01_11895	Chryseobacterium sp. Leaf180	303	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium sp. Leaf180"	1736289
A0A0Q4F8S4	A0A0Q4F8S4_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	ASE55_18975	Chryseobacterium sp. Leaf201	302	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium sp. Leaf201"	1735672
A0A0T0M982	A0A0T0M982_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	ASG21_10525	Chryseobacterium sp. Leaf394	300	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium sp. Leaf394"	1736361
A0A0Q5ZX62	A0A0Q5ZX62_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	ASG31_08810	Chryseobacterium sp. Leaf404	300	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium sp. Leaf404"	1736366
A0A0Q6A353	A0A0Q6A353_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	ASG22_15570	Chryseobacterium sp. Leaf405	302	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium sp. Leaf405"	1736367
A0A1M4WPD3	A0A1M4WPD3_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	SAMN02787100_0928	Chryseobacterium sp. OV279	302	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium sp. OV279"	1500285
A0A1E4A501	A0A1E4A501_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	ABS44_18670	Chryseobacterium sp. SCN 40-13	301	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium sp. SCN 40-13"	1660093
A0A077KP05	A0A077KP05_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	acdS CHSO_3846	Chryseobacterium sp. StRB126	302	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium sp. StRB126"	878220
A0A1M5JD90	A0A1M5JD90_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	SAMN02787073_4150	Chryseobacterium sp. YR203	302	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium sp. YR203"	1500291
A0A0B4CQN4	A0A0B4CQN4_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	RM51_07740	Chryseobacterium taiwanense	301	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Chryseobacterium taiwanense"	363331
A0A1M5XH48	A0A1M5XH48_9BACT	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	SAMN04488109_6546	Chryseolinea serpens	305	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Cytophagia, Cytophagales, unclassified Cytophagales, Chryseolinea, Chryseolinea serpens"	947013
A0A060N335	A0A060N335_CLOBO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	CBO05P1_107	Clostridium botulinum B str. Osaka05	289	"cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium, Clostridium botulinum, Clostridium botulinum B, Clostridium botulinum B str. Osaka05"	1407017
W1UBU7	W1UBU7_CLOBU	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	Q607_CBUC00033G0010	Clostridium butyricum DORA_1	350	"cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium, Clostridium butyricum, Clostridium butyricum DORA_1"	1403941
D9QZD4	D9QZD4_CLOSW	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (EC 3.5.99.7)	Closa_1802	Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)	342	"cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Lachnoclostridium, Clostridium saccharolyticum, Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)"	610130
A0A1E4LEP5	A0A1E4LEP5_9CLOT	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (Fragment)	ABT01_09015	Clostridium sp. SCN 57-10	327	"cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium, Clostridium sp. SCN 57-10"	1660094
A0A127QJ21	A0A127QJ21_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS CAter282_2311	Collimonas arenae	338	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Oxalobacteraceae, Collimonas, Collimonas arenae"	279058
A0A127PC14	A0A127PC14_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS CFter6_2543	Collimonas fungivorans	338	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Oxalobacteraceae, Collimonas, Collimonas fungivorans"	158899
G0AG61	G0AG61_COLFT	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (EC 3.5.99.7)	acdS CFU_0114	Collimonas fungivorans (strain Ter331)	298	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Oxalobacteraceae, Collimonas, Collimonas fungivorans, Collimonas fungivorans (strain Ter331)"	1005048
A4AC90	A4AC90_9GAMM	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (EC 3.5.99.7)	KT71_13065	Congregibacter litoralis KT71	353	"cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Cellvibrionales, Halieaceae, Congregibacter, Congregibacter litoralis, Congregibacter litoralis KT71"	314285
A0A1R4H8Y6	A0A1R4H8Y6_9GAMM	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (EC 3.5.99.7)	CRENPOLYSF1_330027	Crenothrix polyspora	301	"cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Methylococcales, Crenotrichaceae, Crenothrix, Crenothrix polyspora"	360316
A0A0P7AXT7	A0A0P7AXT7_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	I595_2416	Croceitalea dokdonensis DOKDO 023	306	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Croceitalea, Croceitalea dokdonensis, Croceitalea dokdonensis DOKDO 023"	1300341
A0A1B1BK60	A0A1B1BK60_9MICO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	PA27867_1973	Cryobacterium arcticum	340	"cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria (high G+C Gram-positive bacteria), Micrococcales, Microbacteriaceae, Cryobacterium, Cryobacterium arcticum"	670052
A0A0R2X096	A0A0R2X096_9FLAO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	ABS28_01210	Cryomorphaceae bacterium BACL22 MAG-120619-bin32	304	"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Cryomorphaceae, unclassified Cryomorphaceae, Cryomorphaceae bacterium BACL22 MAG-120619-bin32"	1655630
A0A0C4YQ36	A0A0C4YQ36_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS RR42_s2552	Cupriavidus basilensis	338	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Cupriavidus, Cupriavidus basilensis"	68895
H1S8V5	H1S8V5_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS OR16_22133	Cupriavidus basilensis OR16	338	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Cupriavidus, Cupriavidus basilensis, Cupriavidus basilensis OR16"	1127483
A0A1K0IH87	A0A1K0IH87_CUPNE	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS CNECB9_3210019	Cupriavidus necator (Alcaligenes eutrophus) (Ralstonia eutropha)	338	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Cupriavidus, Cupriavidus necator (Alcaligenes eutrophus) (Ralstonia eutropha)"	106590
Q0K1H0	1A1D_CUPNH	reviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS H16_B1365	Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) (Ralstonia eutropha)	338	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Cupriavidus, Cupriavidus necator (Alcaligenes eutrophus) (Ralstonia eutropha), Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) (Ralstonia eutropha)"	381666
F8GNB2	F8GNB2_CUPNN	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS CNE_2c13240	Cupriavidus necator (strain ATCC 43291 / DSM 13513 / N-1) (Ralstonia eutropha)	338	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Cupriavidus, Cupriavidus necator (Alcaligenes eutrophus) (Ralstonia eutropha), Cupriavidus necator (strain ATCC 43291 / DSM 13513 / N-1) (Ralstonia eutropha)"	1042878
J7K3E2	J7K3E2_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (EC 3.5.99.7) (Fragment)	acdS	Cupriavidus sp. SaCR1	209	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Cupriavidus, Cupriavidus sp. SaCR1"	1181198
J7K172	J7K172_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (EC 3.5.99.7) (Fragment)	acdS	Cupriavidus sp. SaCRH1	209	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Cupriavidus, Cupriavidus sp. SaCRH1"	1181199
J7JXL7	J7JXL7_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (EC 3.5.99.7) (Fragment)	acdS	Cupriavidus sp. SaCRH15	209	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Cupriavidus, Cupriavidus sp. SaCRH15"	1221466
J7K430	J7K430_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (EC 3.5.99.7) (Fragment)	acdS	Cupriavidus sp. SaCRH16	209	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Cupriavidus, Cupriavidus sp. SaCRH16"	1221467
J7K177	J7K177_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (EC 3.5.99.7) (Fragment)	acdS	Cupriavidus sp. SaCRH19	209	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Cupriavidus, Cupriavidus sp. SaCRH19"	1221468
J7K3E6	J7K3E6_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (EC 3.5.99.7) (Fragment)	acdS	Cupriavidus sp. SaMRH5	209	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Cupriavidus, Cupriavidus sp. SaMRH5"	1181200
J7JWJ5	J7JWJ5_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (EC 3.5.99.7) (Fragment)	acdS	Cupriavidus sp. SaMS1	209	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Cupriavidus, Cupriavidus sp. SaMS1"	1181201
J7JWK0	J7JWK0_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (EC 3.5.99.7) (Fragment)	acdS	Cupriavidus sp. SaPS20	209	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Cupriavidus, Cupriavidus sp. SaPS20"	1181202
